"","term","estimate","std.error","statistic","p.value"
"235","FTI_reading216",0.0411215640256617,0.269428991032701,0.152624867383595,0.878706873907798
"236","FTI_reading217",-0.0433102374819952,0.244018866400283,-0.17748724973974,0.859140576390306
"237","FTI_reading218",0.0363798798795148,0.268494496184384,0.135495812377962,0.892231176570177
"238","FTI_reading219",-0.0493371403915988,0.276712622713014,-0.178297397161992,0.858504389764958
"239","FTI_reading220",0.0907946375225796,0.280824743374034,0.323314236600758,0.746485289034539
"240","FTI_reading221",0.0650613222934092,0.287244418431354,0.226501606710794,0.820830494569967
"241","FTI_reading222",0.312331587305906,0.237205228604958,1.31671459833655,0.188059348159179
"242","FTI_reading223",-0.0579348231795204,0.293066256452289,-0.19768506917463,0.843308123096268
"243","FTI_reading224",-0.0535012115101481,0.303463570564704,-0.176301924513014,0.860071544687278
"244","FTI_reading232",NA,NA,NA,NA
"245","FTI_reading235",0.00825794315834235,0.288283897695259,0.0286451765928034,0.977149949949349
"246","FTI_reading237",0.0527731655678149,0.285022270045433,0.18515453392257,0.85312338978781
"247","FTI_reading24",0.0452462158354557,0.232124399083298,0.194922274496526,0.845470206014798
"248","FTI_reading242",0.0842729108474422,0.288697776286034,0.291907031400017,0.770382800317084
"249","FTI_reading244",0.140500903546043,0.309903399890368,0.453369997217671,0.650323103071649
"250","FTI_reading245",-0.0287040121503581,0.290909748596302,-0.0986698186941508,0.921408628638722
"251","FTI_reading247",0.0471306725936356,0.303802398189218,0.155135946505205,0.876727119230507
"252","FTI_reading249",0.121435618360003,0.306849283625467,0.395750046815246,0.69232441763146
"253","FTI_reading251",-0.0234085220453731,0.297305347878704,-0.0787356238708609,0.937249438110304
"254","FTI_reading253",0.123405240436439,0.299932581154577,0.411443264887715,0.680784074819629
"255","FTI_reading26",0.0364609613555407,0.219656159752173,0.16599107166709,0.868177882589583
"256","FTI_reading27",0.0842144683735583,0.223681223021103,0.376493239960571,0.706583341436566
"257","FTI_reading274",0.067752205950078,0.29943982645288,0.226263175318596,0.821015901272503
"258","FTI_reading28",0.00484821218013427,0.170700924296499,0.0284017921995148,0.97734404347526
"259","FTI_reading281",0.0851107478276343,0.31910453469788,0.26671745015537,0.789709507426163
"260","FTI_reading29",0.117833848499725,0.335531619366305,0.351185526783644,0.725479826691405
"261","FTI_reading291",-0.458513222332076,0.3582828088805,-1.27975222636207,0.200755317553406
"262","FTI_reading3",-0.00580594217652336,0.170598836109004,-0.0340327185632947,0.972853874968498
"263","FTI_reading312",0.0810431029390642,0.323513136172495,0.250509465853197,0.802214712317679
"264","FTI_reading32",-0.0194559646867315,0.220817979862851,-0.0881086073643798,0.9297976665432
"265","FTI_reading33",0.0430638101084367,0.152247024840713,0.282854854822234,0.777312363885049
"266","FTI_reading34",0.00068788486450092,0.224603392189157,0.00306266462761878,0.997556604162775
"267","FTI_reading349",0.172345706287369,0.320570249534939,0.537622273237758,0.590887426199598
"268","FTI_reading35",-0.0588846335220498,0.224647143060609,-0.262120553681659,0.793250874861152
"269","FTI_reading36",0.0255330981586919,0.219791186810088,0.116169799750679,0.907527637817447
"270","FTI_reading362",0.102477408689524,0.321989247025635,0.318263450211943,0.750312648279562
"271","FTI_reading37",0.012602733776731,0.219432223668819,0.0574333776781659,0.954204730637394
"272","FTI_reading39",0.0411488412985293,0.219496466307752,0.187469265408743,0.85130848067912
"273","FTI_reading395",0.125283710983291,0.411727750112622,0.30428775070182,0.76093491475305
"274","FTI_reading4",0.0188713594023091,0.221114255258288,0.0853466429844836,0.931992891421477
"275","FTI_reading40",0.0633890483130109,0.221995335729698,0.285542252969646,0.775253245772906
"276","FTI_reading41",0.0137609223921455,0.156759006977973,0.0877839344445395,0.930055691017703
"277","FTI_reading43",0.0294470131164116,0.222059859770355,0.132608446870427,0.894514108431712
"278","FTI_reading46",0.00144010559646125,0.139423925446439,0.0103289703818766,0.991759674389961
"279","FTI_reading47",-0.0220616328702842,0.178962910676661,-0.123274888561372,0.90189969172685
"280","FTI_reading48",0.00323747077814875,0.226083732059972,0.0143197865173685,0.988576037699543
"281","FTI_reading49",-0.00333770099939345,0.17867303829128,-0.018680496124727,0.985097531795025
"282","FTI_reading5.4",0.0199022177959275,0.221199993748112,0.0899738623799007,0.928315452607944
"283","FTI_reading50",-0.0211525337141693,0.188125570195524,-0.112438376623576,0.910485180543688
"284","FTI_reading51",0.00425171254218938,0.151247692357668,0.0281109250390083,0.977576005189201
"285","FTI_reading52",-0.0510207459614065,0.227921516478685,-0.22385225734569,0.822891216320904
"286","FTI_reading53",0.0297501367922506,0.224686234048755,0.13240747444187,0.894673042584236
"287","FTI_reading54",0.0571314177250836,0.158969165462604,0.359386787738552,0.719337203511765
"288","FTI_reading55",-0.0974365691241469,0.231528017881729,-0.420841373824226,0.673908395145336
"289","FTI_reading56",0.0141257681434102,0.158108769997731,0.0893420911668145,0.92881745827772
"290","FTI_reading57",0.0361161851818267,0.224724036999606,0.160713494043763,0.872332513862219
"291","FTI_reading58",-0.00222071802979989,0.135867140145644,-0.0163447764295279,0.986960687133682
"292","FTI_reading59",0.0480784127368886,0.146462832521786,0.328263573147385,0.742740865651666
"293","FTI_reading60",-0.0500398103949786,0.152716610197312,-0.327664491310581,0.743193779509407
"294","FTI_reading61",0.0258641264050914,0.148034558476866,0.174716813906216,0.861316813069735
"295","FTI_reading62",-0.000947102870103233,0.147740252093388,-0.0064105946530033,0.99488565045065
"296","FTI_reading63",0.0240007310089423,0.13821698206279,0.173645312252868,0.862158784127856
"297","FTI_reading64",-0.0120809336643005,0.148602991002504,-0.0812967059599558,0.935212735740172
"298","FTI_reading65",0.0139642197224683,0.149304083624207,0.0935287192654139,0.925491299773329
"299","FTI_reading66",0.00541436579520228,0.133578628582594,0.0405331740013673,0.96767141299446
"300","FTI_reading67",0.0186359186480866,0.135933789530957,0.137095557420935,0.89096670141973
"301","FTI_reading68",0.0122477204014458,0.136995590963958,0.0894022961999419,0.92876961810814
"302","FTI_reading69",0.0139136994580969,0.135529852754797,0.10266151091649,0.91824015248363
"303","FTI_reading7",0.0103184120474195,0.218265437149248,0.047274603721907,0.962298280861198
"304","FTI_reading7.6",-0.0174735754817257,0.221677480971079,-0.0788243145184667,0.937178899864032
"305","FTI_reading70",0.188457344683949,0.136490559700933,1.38073537903926,0.167488210197993
"306","FTI_reading71",-0.00161928315835699,0.131658431714976,-0.0122991223369768,0.990187984310483
"307","FTI_reading72",0.115148521686298,0.136350611319099,0.844503156768526,0.398472018818038
"308","FTI_reading73",0.0284687005054034,0.138623517500995,0.205367033088011,0.837302697688134
"309","FTI_reading74",-0.00275570773357565,0.137128608545848,-0.0200957900965961,0.983968619956522
"310","FTI_reading75",0.0333330839137537,0.132952030513992,0.250715117210983,0.802055717521759
"311","FTI_reading76",-8.50674843263566e-06,0.13224932541572,-6.43235676695899e-05,0.999948682535541
"312","FTI_reading77",0.259348319860872,0.139795143391935,1.85520264558658,0.0636891735794547
"313","FTI_reading78",0.0095598098888427,0.132449566532004,0.0721769813156223,0.942467045330192
"314","FTI_reading79",0.00364293953755668,0.133042777486002,0.0273817159141914,0.978157545613786
"315","FTI_reading8.4",0.0181808974240952,0.22078218463651,0.0823476652068993,0.934377081638784
"316","FTI_reading8.5",0.0875246411425334,0.270560074108916,0.323494297637203,0.746348958106158
